BID,positive,negative,cool,funny,useful,year,annual review,rRate
 usSROUMiAgPcxV3Ym0OxMQ,43,9,2,1,4,7,8.85714285714,4.0
 _jsJFrAmFVPRio0eEVExbA,4,2,0,0,0,3,1.33333333333,-0.5
 Rjx8GcWuCzfVsKC5iPIcQA,5,2,0,0,0,4,1.75,0.333333333333
 s74Tq6WKV1b91UFRr7ch7g,10,6,0,0,0,4,2.75,0.666666666667
 BG4N0V93wml9kaU6YYRxRA,6,4,0,1,0,5,2.0,0.333333333333
 83_p9vIqOq1TUIf3_GD7bA,62,16,4,1,10,7,11.7142857143,0.0
 bZcqORBnVApUA2-SEn7VEQ,2,1,0,1,1,5,1.2,0.0
 YMEtEsUDQKOYJOcE5Fx3gQ,21,4,0,0,1,6,3.5,1.2
 wfCLz9-aeShbPB7CaTY-qQ,64,27,7,9,14,8,9.625,0.0
 EPILrBqmgQxd-R1gZ1EWJg,6,1,0,0,2,6,1.83333333333,0.142857142857
 2PfavOTufsPCRdYm-bFcpw,35,10,4,2,6,6,8.16666666667,0.0
 VkqKyq09rDYMhFk5nElWWA,5,3,0,0,1,2,2.0,0.666666666667
 BbIh5NTizhV4Fq_mLmNkpg,2,5,0,0,0,3,1.0,0.0
 Z7HNl4Gz00cA0_wt0S-vSw,5,1,0,0,1,5,2.2,0.666666666667
 OjzR6hUYasFReo0vhVn0-w,7,1,2,1,5,4,1.25,0.2
 zq--BGVHu7_fb1VHEwg2ow,5,1,0,0,0,6,1.0,0.0
 cZl7-Um4HiJWFgDVmMan2Q,10,10,2,2,5,5,3.4,0.8
 I9-Ei8_KYtMjbixNJSCvwA,6,3,0,0,1,2,1.0,0.0
 obAdXU3RULuUOww759_h_w,9,1,0,0,1,4,1.5,0.142857142857
 YUZVBdGmagwXV-yOhR-1GQ,8,6,2,2,4,5,2.0,0.0
 N2DwycuZl95miWf39Yskaw,4,1,3,2,3,3,1.0,0.0
 9NL2GL4jSPVj9SKijH5PqA,15,7,1,1,1,4,3.0,0.0
 WY6FFxpa6ztwDH5OhS6WDw,8,1,0,0,1,4,2.75,-0.333333333333
 LV_OCiR9rOHVHgdhbpqw2Q,3,0,0,0,1,5,1.6,0.25
 cRv7pLvIe3eI0efndQBcLg,6,5,1,1,1,2,1.5,-1.0
 ORTRrw3ClZ0Ld0LgY1H_5g,8,4,1,1,1,5,2.4,0.833333333333
 9aw0t0rlACKkMaxsX0KlKA,2,0,0,0,0,2,1.5,-0.25
 Tb7hQ37UFA2QFaMwjFieQw,5,2,0,0,0,3,1.33333333333,0.25
 21hqlWgjmNgW4pBZJDuziQ,3,1,0,0,0,5,1.2,0.0
 WxN-aV_puFazt3UGNLlw0A,3,1,0,0,0,4,1.75,0.75
 JL5B_s1EoN4zIru4JSw4Qg,4,2,0,1,0,3,2.0,-0.5
 _8xYpVdKMllhuuf4PIvq8w,5,2,0,0,0,4,2.25,0.0
 K8Ebs8G1rwc3DBdznHvDxg,2,1,0,0,0,3,1.33333333333,0.0
 tRhwP2jCg_lI1BrjdscNbw,4,0,1,0,0,2,1.5,0.333333333333
 zvqxmVZgJ0XpJfb1Xn5jKQ,1,1,0,0,0,4,1.25,0.0
 uwiD9jxs09xxXG0by_xKuA,4,1,0,0,0,3,1.66666666667,0.666666666667
 f0eAe5PZMy_MEvxEEBYAcQ,5,2,0,1,0,4,1.5,0.0
 zhQzX3CxM0tdBXwGUWmxGA,8,2,0,1,2,6,2.33333333333,0.166666666667
 ZS7-I04iDm4oRP_GJsJqrA,5,1,2,1,2,3,1.0,0.0
 xSYGuHecEWP7At0HYbO5Jg,4,2,0,0,1,5,1.4,0.0
 7ijQJV72aBrEoJCtTBCHxw,8,6,1,1,2,5,2.6,0.8
 z4cCguoHdU48pj6sXMIzqg,40,21,2,1,6,8,8.75,1.85714285714
 imzKM9-mgN1Yk_RIXx3IgA,11,3,1,1,2,4,3.25,0.8
 9D4PMia-8WqCYXnr7TM0Pw,16,3,1,1,2,6,2.66666666667,0.5
 4LcFKTr6Ah87VcxW2z5e6w,2,8,1,0,0,1,3,NA
 buVALudg30kgkDusqB3yJw,52,19,5,3,13,6,12.5,0.0
 wHi8ODv7TGmeUB02XoX-mA,55,28,4,5,12,8,15.125,0.0
 J7I85lTCEGr9-qp6AXPUjQ,34,10,4,1,7,6,7.33333333333,1.83333333333
 DHAq_WmQwjk7gviKXwqnjg,14,4,0,0,2,5,3.0,1.75
 shrMOQmX_SX-KualwYoAzA,6,2,1,1,2,4,1.75,0.0
 SWzCFTM7KHc-MncD6xxOYQ,21,5,2,1,4,7,5.57142857143,1.16666666667
 lVB0HB2PxC9OTtMcz0wagA,24,9,1,2,5,7,5.85714285714,1.33333333333
 3jPNfiRYdu-tlJM4OGF3og,5,0,3,3,2,2,1.5,0.5
 41CXLCeB8z2oNdIOvnrzIA,23,13,0,1,6,6,5.5,1.2
 YKQ09HGeV3_oiKp8NK7Zqg,3,2,0,0,0,2,1.5,0.5
 gFT2yXDXJ1qfuGOSfSU5Bw,27,10,2,3,5,8,5.375,0.0
 cg8b1FGcl-Sytfa8UlCcjg,13,2,0,0,0,2,2.5,1.0
 UQSGL98JH8346Uv9B9Ec0g,9,3,3,2,4,6,2.33333333333,-0.4
 kj3qws3WSMgOotUeACSdFA,33,8,3,2,7,8,7.125,2.42857142857
 _aGVicux2dJm9sqzLSCJtg,2,1,0,0,0,3,1.0,0.0
 tyXvO1G2qK3MUfaap30auw,11,3,1,0,3,5,2.6,1.0
 niW0ggRVPW5fafcfImdK7w,55,14,8,5,18,9,10.8888888889,1.875
 TASUnYvk_nvTUyKtroCJSA,24,9,3,1,5,6,5.0,0.0
 E_-4Y9vn-u-dPgp33TLRUQ,6,3,1,0,1,4,2.0,0.166666666667
 Msfys8NloDpAsWmhvC9T6A,14,7,1,2,2,6,2.0,0.0
 DsxLIr-b6WlDn9YNsVBu_A,29,6,4,3,6,4,4.5,1.0
 KH6stvNdq_aV0HvKw8P5yA,8,2,1,0,1,7,2.0,0.166666666667
 YTqSkgOiiI9HG3hNH7ovfg,16,7,1,1,4,4,3.0,0.0
 3_3yJMo2dTPeq8woOW69IA,4,1,0,0,0,6,1.5,0.166666666667
 uOwuJJhGaiAzuaDY7-o14g,9,1,2,0,2,4,2.5,0.0
 DEH4worm2017xT3KHLoyAw,5,1,2,1,2,5,1.4,0.0
 gCiKiqPGAC_ZVt5bBcwnrw,24,2,2,1,7,5,4.6,2.25
 rbg3POnoegWx0RQ0KGd0sA,5,1,0,0,2,5,1.6,0.0
 dpRsK3JyaD3GKorVWzQUmA,4,4,1,0,1,2,1.5,-1.0
 vWnwaD-kykqiEc2Q0hbYsw,1,1,0,0,0,3,1.33333333333,0.0
 xUf11yTcoRagwNiJcY8GAA,6,8,1,0,3,2,1.5,1.0
 7FRn0CFWQmZFu8bcEqrXMw,13,2,0,0,0,3,2.33333333333,0.25
 DJKpwLp4mISNDNDpNz67tw,11,3,1,1,2,8,3.125,1.14285714286
 1qUYk564SajvwTtkNM6KJA,35,12,2,1,5,9,6.55555555556,1.75
 LHyGQnuWR2q44bsrw1ZLAg,17,8,1,1,3,6,4.0,2.0
 yWVY1Bq19lDxu3BP7_96EQ,31,11,4,3,8,9,9.33333333333,3.75
 yYyWwqPiLJO7eWRt0g_PBg,18,4,1,1,2,6,4.16666666667,1.6
 sQWSHCIH_HUT4HUXaxDaBA,5,2,0,0,0,6,1.5,0.0
 rUQfZOengMpXFkLvJrNJ3g,41,4,5,1,12,4,4.5,1.33333333333
 GRrvJchtxskNDsGYUPPzzg,23,4,1,1,4,5,3.6,0.333333333333
 Tfysaq2SdZAc5_TyPpuyLA,37,24,3,4,7,8,7.125,0.0
 Lgyc-00L5pAELhjwUjAz-w,4,2,0,1,0,2,2.5,0.5
 TIPebazlAGJsp8zAwhNkcw,21,9,3,3,4,8,4.75,0.875
 rm1hBa1HPcLhUSwuincX2Q,13,4,1,1,2,5,1.4,0.0
 mXHBxHrAJPnPWnm_OKuZTQ,7,2,0,1,0,6,2.16666666667,0.2
 Q9BXMPu2HnRDMq9X_2rHrQ,29,11,0,1,3,7,7.71428571429,0.666666666667
 jc23sKVXBHM8WNLeDE3Eug,3,2,0,0,2,2,1.5,1.0
 Sr98G9lk8nWMGOoxO_fUQA,9,3,0,0,0,5,1.8,0.75
 AK8T92URfkOUoTAVd7l2EA,11,9,1,1,3,2,2.0,0.0
 I2qqSBe5sWwE9pkC6PgmqA,7,1,0,0,0,6,2.0,0.6
 5z1TluGqhwVYrN7ZZPDW6g,11,1,0,0,1,4,1.5,-0.333333333333
 H5Qmurgkw8p7JGmZ8rxqoQ,5,3,1,1,1,1,1,NA
 T4_LFnGNke1yk3k2MJjiqA,6,1,0,0,0,2,2.5,-3.0
 Km-96EyJSH93tUs9iToM-A,9,10,0,1,0,1,3,NA
 bwu0cUZfksuu-uzTPrrl2A,267,84,15,14,35,9,51.2222222222,0.0
 5K6TGz2q_3w2jGnuAjdi_Q,7,1,0,0,2,3,2.66666666667,0.0
 26HlCqrwTikf-n5FXRS8qw,5,2,0,0,2,6,2.33333333333,0.285714285714
 XmJJQjudjE7bXZyFsH0ECw,2,2,0,1,0,1,2,NA
 ufIN_oA285Zivd-4szJKxQ,22,7,3,1,5,9,6.0,0.0
 58AZ_aOhCWQqriwva1-gdw,3,2,0,0,1,3,1.0,0.0
 _kPuX1OAC4QWb2NM9Fbhzw,6,3,0,0,0,2,2.0,1.0
 7GDXpAS4LUSFmzmmm3EtuQ,5,5,1,5,3,6,3.0,1.6
 LhjIfgnWyJLQ96zobHGLgQ,1,1,0,0,0,4,1.25,0.0
 gVL0W9PqidrLTaESQ1xIvQ,6,3,0,1,1,5,1.6,0.0
 pFkEafZFTRE-qgB3NYC48Q,5,2,0,0,1,4,1.25,0.0
 p_wNn2SZ8iFtpVbetmUA_w,36,11,4,3,8,9,8.33333333333,1.0
 uPl2nKYL0uNqBqqeF2Rx7Q,1,1,0,1,0,2,1.0,0.0
 hzR_4oyJLJp6kuD7w0ZARg,5,2,4,3,5,1,3,NA
 vTnvE0fsPP4r1Eni7gufrQ,6,6,0,0,0,3,1.66666666667,0.666666666667
 wSCWrEqPD0RgOepGIbUYnA,4,3,0,0,0,8,2.0,-0.142857142857
 qCg90xkk0VgdNF6IirZEPA,6,2,0,0,1,7,2.14285714286,0.285714285714
 P0kIWqaoOjIJEtJBydFvoA,59,12,5,4,14,6,12.1666666667,3.2
 fnKjsT1rQKS9x0Zw35TwAw,20,7,0,1,4,6,3.0,1.0
 UgBIcnR-WMAH4pezas0_yw,9,4,0,0,2,6,3.33333333333,1.2
 lr4Zti9WOHXWHu8Yp3zZkg,9,1,0,1,1,3,1.0,0.0
 wgSCc7Ut2C4OkmvoeSLIrQ,29,12,2,3,5,8,7.125,2.5
 9oImwXLAn-DFppBrfbmkLg,114,28,5,3,15,9,17.2222222222,0.0
 OJBkDqbEl6JyN_7hJvCVfg,7,2,0,0,1,5,2.6,0.5
 NtPR7xaSxkQTWW1HYGz56A,8,1,0,0,0,2,1.5,0.333333333333
 aft5N5DwIaIzQzwKv7lLvg,6,1,2,1,5,6,1.83333333333,-0.2
 rroEVCHOX6sjZaAYTk6pSw,12,2,0,0,4,7,3.42857142857,-0.5
 oN552ZjtfJWV7CMtftGrfA,45,17,5,3,8,9,14.4444444444,3.0
 yAC6PHPOOqlEvrzyVjItkw,7,5,0,1,1,2,1.5,1.0
 xQYa2C1-tKGx65GpDDNePQ,5,1,0,0,1,5,2.0,0.833333333333
 B-DLw09xS5mgAC0lvlGUxw,8,1,0,0,2,5,2.8,1.0
 ojlQtj_2W24-IZGqkBVsmg,7,5,0,0,2,3,2.66666666667,0.75
 5Hd4vp5bKPq-W8zPwabYhw,0,0,0,0,0,4,1.0,0.0
 9Cx8HT4LLis_2OvcFZpEmw,22,7,2,0,3,4,3.75,1.0
 Q2iZ7kT5SpiRir7iommz1g,19,8,0,1,3,7,4.57142857143,1.33333333333
 n_vYHn44QfjFkTW7gS5LaQ,6,0,0,0,0,2,1.5,0.2
 LCybuUjDVdYQAdfeM6dISw,6,4,0,0,0,2,1.5,0.5
 xdfs6XsmCoAwHD7vEOT5Ww,12,5,0,0,0,5,3.0,0.25
 XO_WxRfD9OAQ6l1FRuoUNg,3,0,0,0,0,3,1.0,0.0
 gQ-BN9WPkvsReJ-r-s_eOw,16,6,0,0,1,3,2.33333333333,-0.5
 XNPqR50C5mtsSpeZ-Rshqg,4,1,1,0,3,3,1.33333333333,0.333333333333
 liZsZYK2st1etzVYazpylw,9,5,0,0,2,7,3.14285714286,0.833333333333
 ar6UvDX5NQrKpd_4u9pdcg,9,4,1,0,1,6,2.83333333333,0.0
 yalcA5czeW7qly_6ksp1nw,4,0,0,0,1,5,1.4,0.25
 khmDwXbcUxeU2ymjju_Jrw,5,5,1,1,5,7,1.71428571429,0.333333333333
 KT8KJ4zt-IPqpLzACdpEZg,3,0,0,0,0,4,1.25,-0.25
 2i5ttyWIY-VPfp4dgWb5Cw,5,2,0,0,2,5,2.0,0.2
 lT506ycfzn3Reti-DO05zA,3,0,0,0,0,3,1.33333333333,0.25
 hMspWyS2RQ8yJ4GpvSN6pg,6,1,2,1,2,4,1.0,0.0
 7JYif-4RQOMWrUkoemuytA,11,2,1,0,2,4,2.5,0.428571428571
 RptBvx0-dGfSpQYzqj6b8Q,12,3,0,1,1,8,3.0,0.571428571429
 Y8ijuEjSTwnAJA3lIfAucg,23,5,2,1,4,7,5.85714285714,0.666666666667
 TYyW_pl7hgfUEMwxVwc4OQ,5,1,1,1,2,6,1.33333333333,0.0
 WRWh8BiaoICpsilqI7WrNQ,33,10,2,3,7,8,7.125,1.0
 rVwbsvynuVZH5LpgOx4oeA,7,2,1,0,1,4,2.75,0.0
 vtcEXiQukuSzOMxyVxlh-Q,102,29,5,3,17,9,16.3333333333,4.625
 tYi1AaABtF3jX1mUIMuYcQ,3,2,0,0,0,2,1.5,-1.0
 _4DWNjU9ck_ynL4Me86CJw,6,4,0,0,1,5,1.4,0.0
 1u_8Lk1_0UsTmjW6b12bpw,29,11,1,2,2,7,6.57142857143,1.57142857143
 l69zskvo5X2V9lxnINgXww,1,1,1,1,0,2,1.5,-0.5
 FnaWgExFsjWeekotG-_66g,2,3,0,0,0,3,1.33333333333,0.0
 44zt-uJPM4BGs46DaNO98Q,2,2,0,0,2,2,1.5,1.0
 WZXg-P4467py050tHRr5ng,7,2,2,0,3,3,1.33333333333,0.0
 EZdFJ0Uxqarqs5BX3pKgug,6,6,0,0,1,2,3.5,1.0
 46dYEuISLWIMSN55AijJBw,1,0,0,0,0,4,1.75,0.0
 Alk2AVNg3wTrI4L1d-krZw,9,3,1,0,1,6,2.16666666667,0.0
 fvhWfSPlx5J_3F-ScLpvXQ,70,22,3,2,8,8,12.25,0.0
 PA0cwf2cgeC8P-YSKQmxIA,7,3,0,0,0,2,2.0,0.666666666667
 pG76BRH7k9SVc9YW3jkANQ,0,1,0,0,0,2,1.0,0.0
 LZghZl5RVTeR4p77UpXipg,2,6,0,0,1,3,1.33333333333,0.5
 _yyHTeCtVOQKjD6G6GO_lg,6,0,0,1,0,3,2.0,1.0
 NhA_Fg-0ywtg8ut2RjUo0w,5,3,0,0,0,3,1.66666666667,1.0
 0qOcbknxi72ZcF-z4VOtDQ,7,3,0,0,1,6,2.0,0.0
 J2x_AMx591i6TK3xccEzqQ,39,12,2,1,4,9,8.66666666667,2.44444444444
 w7VSMULJ9GtRi3CBRxoJtg,52,18,7,4,11,10,10.3,2.22222222222
 RhOTBt7ISr2rhXisSMLTSw,90,28,5,2,12,9,19.1111111111,0.0
 Ak4s2gS-jx8iW33jY4u3jA,30,5,2,1,4,9,5.11111111111,0.125
 P239JxvlJ_mTmMZk-2K9QA,14,4,2,0,2,7,3.0,0.375
 kKiluPSzCnCOkYKknWzNzQ,20,10,1,1,3,8,5.5,0.5
 UtWdmmCdMtm6iqcc7ccO_g,6,2,0,0,0,6,1.83333333333,0.375
 RSr7nAayztT5mBLUBMpbpg,55,21,5,7,9,9,10.2222222222,1.5
 gNcvmWQ6b40mpfzSOdStEA,1,0,0,0,0,3,1.0,0.0
 YeiH-kbGrwmIJlauSP_-dA,61,29,3,2,8,8,11.875,0.0
 kc5gJPisT5L5z8lLa9FV9A,186,50,10,6,26,8,26.375,0.0
 5japW20yvS1tomuvliRbcA,36,15,2,1,5,8,7.125,0.0
 Xk8Nd2X5nf13DunyEg-MGQ,80,30,10,9,25,7,14.0,2.16666666667
 Jh-8r-RwvkRs80HP_q6DYA,22,8,2,2,5,8,6.875,0.0
 0GdTpvzrpDWDPiHP3G6Fuw,32,7,2,1,4,7,4.14285714286,1.0
 ouTDIL0eqSCSRxNk_Qt5_A,19,6,2,2,3,7,3.57142857143,0.0
 U3AUN4Azkm76qsEaWqOCEw,71,20,6,3,15,8,11.125,0.0
 v7e-GIGgEIFANhHsywlhrw,144,44,11,8,20,8,25.0,0.0
 cs9iu_1abcCXOuelaO-Gfg,11,6,1,0,3,6,2.5,0.285714285714
 MEgNULnEYQ40EDxkTpfHxw,20,3,0,0,5,8,3.625,0.428571428571
 fY5s3NUnJTYJOHQeRPYNFQ,42,8,6,3,10,7,7.28571428571,0.833333333333
 wlS-0nxpHQaFqv_iZ01fvw,59,24,5,6,11,7,12.5714285714,0.0
 wziHV0Zs8AMFHdBrMaV2fw,21,7,4,4,6,5,4.8,0.0
 puwWm1NTtjNiuHR1cQo9Tg,20,2,0,0,2,4,4.25,1.16666666667
 _ji6oh2RwfOOt0jMznT5wg,33,8,2,0,4,7,6.85714285714,2.83333333333
 QnI-qHGQGgx61zcPyImhsQ,14,4,4,2,4,6,2.33333333333,0.2
 p6I9XmfpvCyDbkvtvQqhsw,4,1,0,0,0,7,1.57142857143,0.333333333333
 H7XCWLhCbRMDtNs6GfEZXQ,2,1,0,0,0,2,1.0,0.0
 9TOZic931NktWjVGftktJQ,17,6,1,1,3,7,4.0,0.5
 McHO_tvPofRkZVFpaZaWRA,10,5,1,0,2,7,2.42857142857,0.0
 AwaxCI7NMG3_nqCLqC4qWw,34,7,4,3,7,7,9.57142857143,2.83333333333
 VKtZk23K28Rp_9ku70zCrQ,6,1,0,0,1,3,1.0,0.0
 I9IDCNPrOvJYavtsH936cA,8,0,0,0,1,3,1.66666666667,0.333333333333
 ttCWIiHpoiuZX96D2KbNaQ,1,2,1,0,0,2,1.5,1.0
 4e1FfJ1QxKa3L8TJHOtg7g,20,3,3,2,4,2,2.5,-3.0
 qg14DV1nQgYY_b_Pm3a6lw,6,2,0,0,0,7,2.28571428571,0.666666666667
 OGRdRr9rjsXGChCsK7vfXw,5,2,0,0,0,6,2.0,0.2
 AuhN2byA2Cyn-uzWD-pJxw,14,6,0,0,2,7,4.0,1.5
 VkaQc_XSCyy1TQsmRXVZhw,16,4,1,0,1,7,3.85714285714,0.833333333333
 QF8aAgmMvwQsBKTUeq9_mg,9,5,1,2,1,6,2.66666666667,0.166666666667
 9iPsnH3gJdyledlHYahLeg,8,1,0,1,0,4,1.25,0.0
 AD0FE_5dM7pWy5YdbMZaGQ,79,22,4,3,12,7,12.0,3.5
 OpFSTvYREcZZ1ScB250Lbg,4,0,0,0,1,6,1.83333333333,0.0
 lGJTErTf8Y72U4OLHhW65A,55,25,6,3,10,7,13.1428571429,5.0
 wIsoQXDI4X6elYxTvkD_Rw,87,18,9,4,15,7,15.2857142857,0.0
 XtQgLRofbvrivJyinGZtkQ,18,3,1,1,4,7,3.14285714286,0.333333333333
 LMD-f6FMz8lF8QeSlie5kQ,36,10,4,1,6,7,7.71428571429,3.16666666667
 dWg_Wkun000du6jiI3TPUw,27,8,2,0,7,6,5.66666666667,0.8
 XY3aIm-0PZMXXkVKECD7uw,110,31,11,5,24,6,20.1666666667,0.0
 3wvt02K8Q4tZx0OImekCTg,32,9,2,0,6,6,4.66666666667,0.4
 EpPfFCLETEnzAw324Y666A,25,3,4,3,8,6,4.33333333333,0.0
 G7Ork6dlTZ6xcmPF3gxG4w,47,9,3,3,8,6,9.66666666667,0.8
 2UUkXa45Vgk_TfCP6kmfSw,92,34,7,3,20,6,16.0,3.0
 AvVMhXghvAE2_JGWXoC7IA,26,7,2,1,7,3,9.0,0.0
 FVGtiujFXixkw71HBbBB_A,3,2,0,0,0,4,1.5,0.0
 e6wtJ95VHGk5kQWtXholMw,13,4,0,1,3,6,3.33333333333,0.2
 UawG_p7CC3p7HhE7pzNIyQ,14,10,0,1,1,2,3.5,3.0
 Lv01PSVexq5YKJwfgg-JGA,16,5,1,0,1,6,4.16666666667,0.4
 9bqGhpj6NYVrdojYUnHMgA,5,1,1,1,2,4,1.75,0.0
 pKwsonGrAZPR7xsB5XZjKA,5,2,0,0,0,4,1.25,0.0
 EfmGcKIuG05OlY_mcANMRA,11,2,2,0,2,4,3.75,1.75
 JObIv0n8MW2A84NE0__Syg,16,6,0,0,2,6,3.33333333333,0.4
 ionFxm0fkwX_J3I5By6Efg,1,1,0,0,0,4,1.0,0.0
 d7M30BsQj_oT2howDyo0ew,5,0,0,0,1,4,1.5,0.4
 doQQQzQis8Me3jGeAhfd5w,3,1,0,0,0,4,1.5,0.2
 1wCyM-brDWQNxrJajO7QXw,2,0,0,0,1,5,1.2,0.2
 W3UMlRDOn9Tzd3kfYlHX3g,70,24,11,7,29,6,14.1666666667,0.0
 9q0T11qr73CgUlLM1amWMA,1,1,0,0,0,4,1.0,0.0
 V7r0F2kr1WlyNOBy-C_HMA,120,19,10,5,21,6,22.8333333333,0.0
 BL3JjW4GiljNbGn90Bk_Fg,6,1,0,0,1,5,1.4,0.2
 ltFzUGuaNqDqH1iOlNd64g,5,2,0,0,0,5,1.4,0.0
 Q6b-V99kzl6hUYug7AuYKA,6,2,1,0,1,6,1.66666666667,0.0
 gUT2SESEp7nV6kDYipHZeA,2,2,0,0,0,4,1.25,0.2
 TFvvI_MxoTg-rNHpvh3QeA,8,2,0,0,1,5,1.8,0.6
 Fx9NGStq3-YpG1zcHzJftA,9,3,0,0,1,5,2.0,0.6
